timestamp_ms,phys_footprint,phys_footprint_peak
5108796,12884901888,24696061952
5114668,12884901888,24696061952
5120585,11811160064,24696061952
5126437,10737418240,24696061952
5132282,15032385536,24696061952
5138178,15032385536,24696061952
5144080,11811160064,24696061952
5149991,10737418240,24696061952
5155919,10737418240,24696061952
5161840,15032385536,24696061952
5167755,13958643712,24696061952
5173625,12884901888,24696061952
5179491,11811160064,24696061952
5185395,12884901888,24696061952
5191327,16106127360,24696061952
5197155,13958643712,24696061952
5203018,13958643712,24696061952
5208876,13958643712,24696061952
5214925,9982443520,24696061952
5220833,13958643712,24696061952
5226729,13958643712,24696061952
5232651,12884901888,24696061952
5238556,11811160064,24696061952
5244435,10737418240,24696061952
5250339,12884901888,24696061952
5256249,12884901888,24696061952
5262126,12884901888,24696061952
5268004,11811160064,24696061952
5273858,11811160064,24696061952
5279727,15032385536,24696061952
5285618,13958643712,24696061952
5291463,13958643712,24696061952
5297355,13958643712,24696061952
5303355,9424601088,24696061952
5309267,9062842368,24696061952
5315167,10737418240,24696061952
5321081,12884901888,24696061952
5326957,12884901888,24696061952
5332856,11811160064,24696061952
5338720,11811160064,24696061952
5344596,10737418240,24696061952
5350452,12884901888,24696061952
5356304,12884901888,24696061952
5362192,11811160064,24696061952
5367992,15032385536,24696061952
5373885,15032385536,24696061952
5379913,10266607616,24696061952
5385833,10139729920,24696061952
5391740,11811160064,24696061952
5397609,13958643712,24696061952
5403489,13958643712,24696061952
5409365,12884901888,24696061952
5415238,12884901888,24696061952
5421119,11811160064,24696061952
5426992,10737418240,24696061952
5432852,12884901888,24696061952
5438698,16106127360,24696061952
5444707,12884901888,24696061952
5450627,12884901888,24696061952
5456504,11811160064,24696061952
5462441,11811160064,24696061952
5468321,11811160064,24696061952
5474209,13958643712,24696061952
5480117,13958643712,24696061952
5486009,13958643712,24696061952
5491840,13958643712,24696061952
5497747,12884901888,24696061952
5503611,11811160064,24696061952
5509475,10737418240,24696061952
5515366,11811160064,24696061952
5521251,9349103616,24696061952
5527186,9043968000,24696061952
5533105,9878634496,24696061952
5538960,9854517248,24696061952
5544752,10133438464,24696061952
5550596,12884901888,24696061952
5556425,12884901888,24696061952
5562327,11811160064,24696061952
5568203,10737418240,24696061952
5574110,12884901888,24696061952
5580020,12884901888,24696061952
5585970,11811160064,24696061952
5591839,11811160064,24696061952
5597697,16106127360,24696061952
5603580,16106127360,24696061952
5609524,16106127360,24696061952
5615506,11811160064,24696061952
5621398,11811160064,24696061952
5627253,11811160064,24696061952
5633145,10737418240,24696061952
5638994,10076815360,24696061952
5644828,9907994624,24696061952
5650658,10737418240,24696061952
5656527,13958643712,24696061952
5662418,13958643712,24696061952
5668246,13958643712,24696061952
5674107,12884901888,24696061952
5679992,10191110144,24696061952
5685878,9709813760,24696061952
5691755,9423552512,24696061952
5697625,10261364736,24696061952
5703475,10737418240,24696061952
5709273,10737418240,24696061952
5715130,10112466944,24696061952
5720963,9756999680,24696061952
5726798,11811160064,24696061952
5732581,11811160064,24696061952
5738460,11811160064,24696061952
5744278,10737418240,24696061952
5750142,8813281280,24696061952
5756051,9986637824,24696061952
5761952,9895411712,24696061952
5767886,10048503808,24696061952
5773795,10737418240,24696061952
5779702,10202644480,24696061952
5785573,10374610944,24696061952
5791398,11811160064,24696061952
5797236,12884901888,24696061952
5803137,12884901888,24696061952
5809004,12884901888,24696061952
5814834,15032385536,24696061952
5820840,11811160064,24696061952
5826730,10737418240,24696061952
5832581,10737418240,24696061952
5838464,10737418240,24696061952
