timestamp_ms,bytes_read,bytes_written
3760761,2454431424512,700907114496
3766633,2459609997312,701620715520
3772403,2465872023552,701620715520
3778238,2471622057984,701620715520
3784084,2476026626048,702455029760
3790001,2480910557184,702877143040
3795888,2485040537600,704269099008
3801727,2489904099328,705063784448
3807608,2493706948608,706642280448
3813509,2498576039936,707233849344
3819358,2503836008448,707664076800
3825268,2508963729408,708137177088
3831115,2514317910016,708681895936
3836958,2519194165248,709240598528
3842791,2522976186368,710029238272
3848649,2529158041600,711143342080
3854543,2534025330688,711955652608
3860379,2538288082944,714012405760
3866211,2543846133760,715122139136
3872069,2549131403264,715122139136
3877885,2554176913408,716234256384
3883797,2559716352000,716322570240
3889645,2563721961472,717426155520
3895478,2569502552064,717841637376
3901346,2573739786240,718931656704
3907231,2579173294080,720530853888
3913119,2584664756224,721449086976
3918958,2589044830208,723277160448
3924750,2595038347264,724796633088
3930660,2600654647296,725248241664
3936524,2606270214144,726291095552
3942397,2611411320832,726369230848
3948198,2616863236096,727385026560
3954019,2621417611264,727791976448
3959944,2625584201728,728685510656
3965810,2630912167936,729820413952
3971662,2636707557376,730218430464
3977522,2641064984576,731844386816
3983408,2646936301568,732923072512
3989261,2651209199616,733350694912
3995219,2656300711936,734102732800
4001093,2661097381888,734416154624
4007028,2665967280128,735424290816
4012927,2670445006848,736006152192
4018850,2673739657216,737656504320
4024751,2678707544064,738465636352
4030631,2683065004032,740926922752
4036484,2688765243392,742674227200
4042361,2692922560512,743609626624
4048269,2698188226560,744200806400
4054175,2702832107520,744251121664
4060037,2707525373952,745388449792
4065883,2712135516160,745388449792
4071756,2716878946304,747046342656
4077592,2721688330240,748331483136
4083441,2726409752576,749153419264
4089266,2731505176576,751437500416
4095169,2737029251072,752881504256
4101085,2742303211520,753035046912
4106950,2746703384576,754161975296
4112786,2751668416512,754194092032
4118644,2756010135552,755180859392
4124564,2761001381888,755684966400
4130434,2766408155136,756090011648
4136250,2770283175936,757898137600
4142115,2775352782848,758732845056
4147960,2779973697536,759515119616
4153818,2783941267456,761816162304
4159657,2788925689856,762878001152
4165588,2791301935104,762954219520
4171445,2795385708544,763836362752
4177315,2800324288512,764369154048
4183209,2805004206080,764387729408
4189104,2809096945664,765786406912
4195011,2813710815232,765874819072
4200871,2817472253952,767321833472
4206756,2821908721664,768125394944
4212611,2827050745856,768917491712
4218456,2831389478912,771176001536
4224334,2836999147520,772694028288
4230179,2842610012160,772831186944
4236023,2847056207872,773943840768
4241882,2852108644352,774315917312
4247796,2856791871488,775422308352
4253714,2861715206144,775926747136
4259651,2866553917440,775926747136
4265506,2870464598016,778014081024
4271339,2875594059776,779299094528
4277198,2880801509376,780122460160
4283068,2885092470784,782913138688
4289023,2890665680896,783975964672
4294884,2895408435200,784324259840
4300732,2900190687232,785627025408
4306559,2905074401280,785802629120
4312493,2908242059264,786171056128
4318431,2911575900160,787517956096
4324335,2916513185792,787764555776
4330247,2920003223552,788888432640
4336092,2924936654848,789869412352
4341936,2929590657024,790694203392
4347800,2934611099648,791520538624
4353681,2939164168192,792940371968
4359550,2944593653760,794445479936
4365358,2950925574144,794998833152
4371274,2956340969472,795075436544
4377177,2961229750272,795075436544
4383039,2965464100864,796093435904
4388940,2970697478144,796149919744
4394811,2975449772032,796149919744
4400690,2979904626688,796149919744
4406516,2983508434944,796949405696
4412391,2987524034560,797421965312
4418291,2991620448256,797421965312
4424185,2995619192832,797421965312
4430050,2999455850496,797421965312
4435913,3002757619712,798939828224
4441770,3006943911936,799640555520
4447653,3011589287936,799640555520
4453539,3015765180416,799640555520
4459391,3019274153984,801146564608
4465244,3023764434944,802838515712
4471084,3028195885056,803208859648
4476918,3032706469888,803208859648
4482753,3036536205312,804302209024
4488593,3040485486592,804512894976
4494443,3044518744064,804512894976
4500248,3047930118144,805587697664
4506075,3052204883968,806137991168
4511897,3055901642752,806348668928
4517772,3058849329152,807467057152
4523680,3062733840384,808581115904
4529585,3066924527616,809389170688
4535449,3071667412992,810183868416
4541294,3075990990848,812450738176
4547212,3080296677376,812966330368
4553173,3084619419648,813013602304
4559027,3088826703872,814158278656
4564927,3093901963264,814158278656
4570822,3098756808704,814158278656
4576655,3103070253056,815258451968
4582592,3108338028544,815819804672
4588479,3112677310464,815878418432
4594374,3116224778240,816708374528
4600243,3120838696960,818414714880
4606138,3125057568768,819393003520
4612017,3129166737408,821017071616
4617941,3133885825024,822688825344
4623873,3136221208576,823176249344
4629776,3140503949312,823323176960
4635597,3144123654144,824223383552
4641449,3148680343552,824780840960
4647346,3152962789376,825073270784
4653247,3157250441216,825427673088
4659160,3161527132160,826502660096
4665048,3166252728320,826502660096
4670880,3170393387008,826502660096
4676730,3174644404224,827611357184
4682647,3179454078976,828476465152
4688497,3184269479936,829278568448
4694361,3188671410176,830119526400
4700272,3192466001920,830445969408
4706169,3197163233280,832925528064
4712068,3201806856192,833527005184
4717925,3206006849536,833527005184
4723765,3209908568064,833527005184
4729651,3214075047936,834639953920
4735554,3219487735808,834639953920
4741437,3223928274944,834639953920
4747315,3227520806912,834639953920
4753141,3230930046976,836309618688
4759049,3235398291456,836777791488
4764881,3239623876608,837146947584
4770793,3243656081408,837915082752
4776711,3248180760576,839005794304
4782613,3252750176256,839774404608
4788446,3258032676864,840585863168
4794341,3263033540608,841173659648
4800212,3268079935488,843201789952
4806083,3274159702016,844059410432
4811938,3279465672704,844455505920
4817857,3285016342528,844546592768
4823739,3289595146240,845386018816
